imdb_title_id,title,year,genre,duration,avg_vote,votes,language
tt0892791,shrek e vissero felici e contenti,2010,"Animation, Adventure, Comedy",93,6.3,180304,English
tt0893412,from prada to nada,2011,"Comedy, Drama, Romance",107,5.5,14211,"English, Spanish"
tt0901504,psych9,2010,"Horror, Mystery, Thriller",98,4.4,2115,English
tt0903036,westbrick murders,2010,"Action, Crime, Thriller",90,2.4,352,English
tt0905372,la cosa,2011,"Horror, Mystery, Sci-Fi",103,6.2,119386,"English, Norwegian, Danish"
tt0910885,natale con i tuoi,2014,"Comedy, Drama",88,5.1,5772,"English, Dari"
tt0914823,sotto assedio,2010,"Action, Thriller",78,4.5,116,English
tt0915463,jackboots on whitehall,2010,"Animation, Comedy, Sci-Fi",91,5.3,1262,English
tt0918575,victim,2010,"Horror, Thriller",90,6.0,4163,English
tt0918940,the legend of tarzan,2016,"Action, Adventure, Drama",110,6.2,160617,"English, Lingala, French"
tt0923653,the dead undead,2010,"Action, Horror, Sci-Fi",89,2.9,811,English
tt0929618,the penthouse,2010,Comedy,89,3.6,1378,English
tt0929742,deep gold,2011,Action,86,3.0,317,English
tt0934981,the waiter,2010,"Action, Crime, Drama",92,5.1,222,English
tt0938283,lultimo dominatore dellaria,2010,"Action, Adventure, Family",103,4.0,149673,English
tt0938305,freaky deaky,2012,"Comedy, Crime, Thriller",90,6.0,6047,English
tt0938330,silent hill revelation 3d,2012,"Fantasy, Horror",95,5.0,59539,English
tt0944835,salt,2010,"Action, Mystery, Thriller",100,6.4,291354,"English, Russian, Korean"
tt0945513,source code,2011,"Action, Drama, Mystery",93,7.5,476758,English
tt0947810,green zone,2010,"Action, Drama, Thriller",115,6.8,127645,"English, Arabic"
tt0948470,the amazing spiderman,2012,"Action, Adventure, Sci-Fi",136,6.9,550033,English
tt0955308,robin hood,2010,"Action, Adventure, Drama",140,6.6,249741,"English, French, Ukrainian"
tt0959306,reach me  la strada per il successo,2014,"Comedy, Crime, Drama",95,4.9,2506,English
tt0961097,un mostro a parigi,2011,"Animation, Adventure, Comedy",90,6.7,19110,"French, English"
tt0963177,made in romania,2010,Comedy,95,5.2,249,"English, Romanian"
tt0963966,lapprendista stregone,2010,"Action, Adventure, Family",109,6.1,150831,"English, Cantonese, Ukrainian"
tt0969653,white wall,2010,"Action, Mystery, Sci-Fi",91,5.7,1189,English
tt0970866,vi presento i nostri,2010,"Comedy, Romance",98,5.5,104817,"English, Ukrainian"
tt0970926,the chosen one,2010,"Comedy, Drama",101,4.5,2444,English
tt0973809,headhunter the assessment weekend,2010,"Action, Thriller",93,3.4,173,English
tt0974015,justice league,2017,"Action, Adventure, Fantasy",120,6.3,371025,"English, Irish, Russian, Icelandic"
tt0975738,sinatra club,2010,"Action, Biography, Crime",88,5.0,479,English
tt0978764,sucker punch,2011,"Action, Adventure, Fantasy",110,6.0,227259,"English, German"
tt0979434,lottery ticket,2010,Comedy,99,5.0,10357,English
tt0983193,le avventure di tintin  il segreto dellunicorno,2011,"Animation, Action, Adventure",107,7.3,213212,English
tt0983250,youre nobody til somebody kills you,2012,"Horror, Thriller",86,3.1,182,English
tt0985694,machete,2010,"Action, Crime, Thriller",105,6.6,188404,"English, Spanish, Hungarian"
tt0988655,a flat,2010,"Drama, Horror, Romance",103,4.6,200,"Hindi, English"
tt0990363,detention,2010,"Horror, Thriller",81,3.0,892,English
tt0990407,the green hornet,2011,"Action, Comedy, Crime",119,5.8,153763,"English, Mandarin"
tt0993842,hanna,2011,"Action, Drama, Thriller",111,6.8,188093,"English, French, German, Italian, Arabic, Spanish"
tt0994917,adventure scouts,2010,"Action, Adventure, Comedy",83,6.0,1601,English
tt0995845,the courier,2012,"Action, Crime, Drama",95,4.5,4512,English
tt0996664,the extendables,2014,Comedy,88,3.6,191,English
tt0996958,red reaper,2013,"Action, Adventure, Fantasy",99,2.1,538,"Spanish, English"
tt0999913,straw dogs,2011,"Action, Drama, Thriller",110,5.8,32371,English
tt1001526,megamind,2010,"Animation, Action, Comedy",95,7.2,222974,English
tt1006907,last breath,2010,Horror,91,3.9,261,English
tt1013743,innocenti bugie,2010,"Action, Adventure, Comedy",109,6.3,177351,"English, German, Spanish"
tt1013860,dylan dog  il film,2010,"Action, Comedy, Crime",108,5.1,14499,English
tt1016090,the cursed  il maledetto,2010,"Horror, Romance, Thriller",88,5.9,1850,English
tt1016241,splintered,2010,"Horror, Thriller",85,4.0,990,English
tt1018765,allultimo voto,2015,"Comedy, Drama",107,6.1,20156,"English, Spanish"
tt1020558,centurion,2010,"Action, Drama, History",97,6.4,76988,"English, Scottish Gaelic"
tt1020982,odd brodsky,2014,Comedy,93,6.9,153,English
tt1024770,the people ive slept with,2012,Comedy,89,4.8,671,English
tt1024855,gunned down,2017,"Action, Thriller",95,5.1,868,English
tt1027683,kill speed,2010,"Action, Crime, Thriller",113,3.9,1811,English
tt1027820,the incident,2011,"Horror, Thriller",85,5.6,4258,English
tt1027873,the magnificent eleven,2013,"Comedy, Drama, Sport",91,3.5,388,English
tt1029360,poltergeist,2015,"Horror, Thriller",93,4.9,54188,English
tt1032751,the warriors way,2010,"Action, Fantasy, Western",100,6.3,25083,English
tt1033575,paradiso amaro,2011,"Comedy, Drama",115,7.3,230101,English
tt1034010,bad meat,2011,"Comedy, Horror",92,3.5,774,English
tt1034293,somewhere tonight,2011,"Comedy, Drama, Romance",85,5.9,248,English
tt1034314,iron sky  saranno nazi vostri,2012,"Action, Adventure, Comedy",93,5.9,90446,"English, German"
tt1034385,cold skin  la creatura di atlantide,2017,"Fantasy, Horror, Sci-Fi",108,6.0,11544,English
tt1034389,the eagle,2011,"Action, Adventure, Drama",114,6.2,64383,"English, Scottish Gaelic"
tt1034415,suspiria,2018,"Fantasy, Horror, Mystery",152,6.8,57122,"English, German, French, Russian"
tt1037705,codice genesi,2010,"Action, Adventure, Drama",118,6.9,288327,English
tt1038685,the king of fighters,2010,"Action, Sci-Fi, Thriller",93,3.0,4037,English
tt1038686,legion,2010,"Action, Fantasy, Horror",100,5.2,97780,English
tt1038693,a proposito di luke,2012,"Comedy, Drama",96,7.2,2993,English
tt1038919,il cacciatore di ex,2010,"Action, Comedy, Romance",110,5.6,119522,"English, Ukrainian"
tt10417622,ani mulalu the crazy world,2014,Action,82,7.6,369,"English, Swahili"
tt1041778,let the game begin,2010,"Comedy, Drama, Mystery",110,5.2,576,English
tt1041804,lo schiaccianoci 3d,2010,"Action, Family, Fantasy",110,4.2,3460,English
tt1043726,hercules  la leggenda ha inizio,2014,"Action, Adventure, Fantasy",99,4.2,52067,English
tt1045658,il lato positivo  silver linings playbook,2012,"Comedy, Drama, Romance",122,7.7,651122,English
tt1045673,wasteland,2011,"Action, Adventure, Sci-Fi",80,2.6,234,English
tt1047449,camp hell,2010,"Drama, Horror",99,3.5,2074,English
tt1047540,parental guidance,2012,"Comedy, Family",105,6.0,24582,English
tt1051253,the portal,2010,Horror,86,3.6,427,English
tt10515340,at the door,2018,Horror,99,5.6,321,English
tt1051904,piccoli brividi,2015,"Adventure, Comedy, Family",103,6.3,78543,English
tt1053424,repo men,2010,"Action, Sci-Fi, Thriller",111,6.3,99553,"English, Spanish"
tt1053810,un anno da leoni,2011,Comedy,102,6.2,41417,English
tt1054631,house broken  una casa sottosopra,2010,Comedy,84,4.7,2076,English
tt1055292,tre allimprovviso,2010,"Comedy, Drama, Romance",114,6.5,120408,English
tt1055363,the dead matter,2010,"Fantasy, Horror",90,3.4,858,English
tt1059317,sophomore,2012,Comedy,98,5.0,131,English
tt1059836,transit,2012,"Action, Crime, Thriller",88,5.8,10653,English
tt1059887,301  la leggenda di maximus il fichissimo,2011,"Action, Comedy",90,4.2,2841,English
tt1059969,spud,2010,"Comedy, Drama",103,6.7,2465,English
tt1063327,bare knuckles,2010,"Action, Drama",90,3.9,429,English
tt1067765,adult world,2013,"Comedy, Drama",97,6.1,16617,English
tt1067773,the gauntlet,2013,"Action, Adventure, Horror",80,5.5,2150,English
tt1067774,monte carlo,2011,"Adventure, Comedy, Family",109,5.8,40555,English
tt1068242,footloose,2011,"Comedy, Drama, Music",113,5.9,45665,English
tt1068961,midnight son,2011,Horror,88,5.9,1695,English
tt1070781,good intentions,2010,Comedy,84,5.2,629,English
tt1071809,the amazing adventures of the living corpse,2012,"Animation, Action, Fantasy",88,3.5,226,English
tt1071875,ghost rider  spirito di vendetta,2011,"Action, Fantasy, Thriller",96,4.3,109111,"English, Romanian"
tt1071877,jelly,2010,"Comedy, Romance",104,5.3,138,English
tt1073240,the reverend,2011,Horror,98,4.0,375,English
tt1073246,see you in september,2010,"Comedy, Romance",91,4.7,695,English
tt1074638,skyfall,2012,"Action, Adventure, Thriller",143,7.7,620267,"English, Turkish, Shanghainese, Portuguese, Japanese"
tt1075747,jonah hex,2010,"Action, Drama, Fantasy",81,4.7,54639,English
tt1077368,dark shadows,2012,"Comedy, Fantasy, Horror",113,6.2,242866,English
tt1078583,krews,2010,"Action, Crime, Drama",105,5.9,220,English
tt1078597,elimination,2010,"Action, Horror, Thriller",87,3.3,515,English
tt1079360,the girl from the naked eye,2012,"Action, Crime, Mystery",84,4.8,1964,English
tt1079974,10 years later,2010,"Comedy, Drama",98,6.1,122,English
tt1082075,pusher,2010,"Action, Crime, Drama",107,6.2,609,"Hindi, English, Urdu"
tt1082577,impatto fatale,2010,"Action, Crime, Thriller",96,5.2,2436,English
tt1082807,the belko experiment chi sopravviverà,2016,"Horror, Thriller",89,6.1,42528,English
tt1083452,eddie the eagle  il coraggio della follia,2015,"Biography, Comedy, Drama",106,7.4,82857,"English, German, Norwegian"
tt1083462,mardi gras  fuga dal college,2011,Comedy,88,5.1,5616,English
tt1085492,the prince  tempo di uccidere,2014,"Action, Thriller",93,4.6,17298,English
tt1086772,insieme per forza,2014,"Comedy, Romance",117,6.5,115899,English
tt1087461,megan is missing,2011,"Drama, Horror, Thriller",89,4.7,8233,English
tt1091191,lone survivor,2013,"Action, Biography, Drama",121,7.5,261546,"English, Pushto, Arabic"
tt1092026,paul,2011,"Adventure, Comedy, Sci-Fi",104,7.0,231589,"English, Klingon"
tt1093355,buzzkill,2012,Comedy,94,4.5,183,English
tt1093357,lora nera,2011,"Action, Adventure, Horror",89,4.9,57179,"English, Russian"
tt1093906,the rig,2010,"Action, Adventure, Horror",94,3.2,1878,English
tt1100051,bereavement,2010,"Crime, Horror, Thriller",109,5.1,6637,English
tt1103153,killers,2010,"Action, Comedy, Romance",100,5.5,85853,English
tt1103255,something like a business,2010,Comedy,80,3.6,440,English
tt1103273,peep world,2010,"Comedy, Drama",79,5.6,3583,English
tt1104001,tron legacy,2010,"Action, Adventure, Sci-Fi",125,6.8,309135,English
tt1105355,good ol boy,2015,"Comedy, Drama, Family",102,6.8,1073,English
tt1106884,cutprint,2012,"Horror, Thriller",92,4.7,122,English
tt1107319,dirty girl,2010,"Comedy, Drama",90,6.4,10239,English
tt1107812,dirty movie,2011,Comedy,91,3.0,3066,English
tt1109488,mars,2010,"Animation, Comedy, Sci-Fi",90,6.0,360,English
tt1109624,paddington,2014,"Adventure, Comedy, Family",95,7.2,94983,English
tt1111235,trance,2010,Horror,83,4.1,107,English
tt1117386,a fork in the road,2010,"Comedy, Crime",105,6.0,1101,English
tt1121096,il settimo figlio,2014,"Action, Adventure, Fantasy",102,5.5,70013,English
tt1121986,art of submission,2012,"Action, Drama",119,4.0,496,English
tt1124037,free state of jones,2016,"Action, Biography, Drama",139,6.9,49898,English
tt1125929,love ranch,2010,"Biography, Comedy, Drama",117,5.6,2916,English
